,provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
0,湖北省,730,32,39,2020-01-25
1,湖北省,1058,42,52,2020-01-26
2,湖北省,1423,47,76,2020-01-27
3,湖北省,2714,52,100,2020-01-28
4,湖北省,3554,87,125,2020-01-29
5,湖北省,4903,90,162,2020-01-30
6,湖北省,5806,141,204,2020-01-31
7,湖北省,7153,168,249,2020-02-01
8,湖北省,9074,267,294,2020-02-02
9,湖北省,11177,300,350,2020-02-03
10,湖北省,13522,397,414,2020-02-04
11,湖北省,16678,536,479,2020-02-05
12,湖北省,19665,712,549,2020-02-06
13,湖北省,22112,867,618,2020-02-07
14,湖北省,24953,1218,699,2020-02-08
15,湖北省,27100,1480,780,2020-02-09
16,湖北省,29631,1854,871,2020-02-10
17,湖北省,31728,2310,974,2020-02-11
18,湖北省,33366,2686,1068,2020-02-12
19,湖北省,48206,3459,1310,2020-02-13
20,湖北省,51986,3900,1318,2020-02-14
21,湖北省,54406,4821,1457,2020-02-15
22,湖北省,56249,5666,1596,2020-02-16
23,湖北省,58182,6693,1696,2020-02-17
24,湖北省,59989,7943,1789,2020-02-18
25,湖北省,61682,9336,1921,2020-02-19
26,湖北省,62031,10521,2029,2020-02-20
27,湖北省,62662,11881,2144,2020-02-21
28,湖北省,63454,13690,2250,2020-02-22
29,湖北省,64084,15343,2346,2020-02-23
30,湖北省,64287,16748,2495,2020-02-24
31,湖北省,64786,18971,2563,2020-02-25
32,湖北省,65187,20969,2615,2020-02-26
33,湖北省,65596,23383,2641,2020-02-27
34,湖北省,65914,26403,2682,2020-02-28
35,湖北省,66337,28993,2727,2020-02-29
36,湖北省,66907,31536,2761,2020-03-01
37,湖北省,67103,33934,2803,2020-03-02
38,湖北省,67217,36208,2835,2020-03-03
39,湖北省,67332,38557,2871,2020-03-04
40,湖北省,67466,40592,2902,2020-03-05
41,湖北省,67592,42033,2931,2020-03-06
42,湖北省,67666,43500,2959,2020-03-07
43,湖北省,67707,45235,2986,2020-03-08
44,湖北省,67743,46488,3008,2020-03-09
45,湖北省,67760,47743,3024,2020-03-10
46,湖北省,67773,49134,3046,2020-03-11
47,湖北省,67781,50318,3056,2020-03-12
48,湖北省,67786,51553,3062,2020-03-13
49,湖北省,67790,52960,3075,2020-03-14
50,湖北省,67794,54288,3085,2020-03-15
51,湖北省,67798,55142,3099,2020-03-16
52,湖北省,67799,56003,3111,2020-03-17
53,湖北省,67800,56927,3122,2020-03-18
54,湖北省,67800,57682,3130,2020-03-19
55,湖北省,67800,58382,3133,2020-03-20
56,湖北省,67800,58946,3139,2020-03-21
57,湖北省,67800,59433,3144,2020-03-22
58,湖北省,67800,59882,3153,2020-03-23
59,湖北省,67801,60324,3160,2020-03-24
60,湖北省,67801,60811,3163,2020-03-25
61,湖北省,67801,61201,3169,2020-03-26
62,湖北省,67801,61732,3174,2020-03-27
63,湖北省,67801,62098,3177,2020-03-28
64,湖北省,67801,62565,3182,2020-03-29
